mean_loss,epsilon,learning_rate
0.474892846979,0.996160300001,0.0001
0.175332430019,0.996152200001,0.0001
0.416249485946,0.996144100001,0.0001
0.406894829078,0.996137500001,0.0001
0.415527551014,0.996129700001,0.0001
0.290221206517,0.996103000001,0.0001
0.362588197109,0.996080800001,0.0001
0.21194426327,0.996073300001,0.0001
0.27371078961,0.996065200001,0.0001
0.432302068606,0.996057700001,0.0001
0.364033929231,0.996049300001,0.0001
0.353676173087,0.996041800001,0.0001
0.449234472232,0.996018400001,0.0001
0.374138650153,0.996003100001,0.0001
0.46095312566,0.995995900001,0.0001
0.409980540804,0.995973400001,0.0001
0.383915129673,0.995957200001,0.0001
0.351752990475,0.995950300001,0.0001
0.42393429101,0.995943400001,0.0001
0.417417321403,0.995936800001,0.0001
0.403774281607,0.995915500001,0.0001
0.31156644915,0.995893600001,0.0001
0.375317955398,0.995886100001,0.0001
0.499851574559,0.995869300001,0.0001
0.434343891084,0.995861800001,0.0001
0.589783982634,0.995854300001,0.0001
0.414813151113,0.995844100001,0.0001
0.375743108125,0.995835700001,0.0001
0.328070567077,0.995819500001,0.0001
0.430463587688,0.995809600001,0.0001
0.43519211955,0.995802100001,0.0001
0.379681536116,0.995794000001,0.0001
0.341647438239,0.995785000001,0.0001
0.563678811415,0.995776000001,0.0001
0.419165300438,0.995768200001,0.0001
0.34788432589,0.995761000001,0.0001
0.418948441796,0.995730400001,0.0001
0.358834793466,0.995722000001,0.0001
0.542595064762,0.995715400001,0.0001
0.475194654572,0.995708200001,0.0001
0.452292952233,0.995700700001,0.0001
0.422652669609,0.995694100001,0.0001
0.424515623181,0.995686300001,0.0001
